Date,Open,High,Low,Close,Prev. Close,Change,% Change
20-Apr-20,42.5925,44.0375,40.295,43.455,42.5925,0.86,2.03
21-Apr-20,43.455,45.9625,36.215,45.1975,43.455,1.74,4.01
22-Apr-20,45.1975,45.425,40.465,42.8225,45.1975,-2.38,-5.25
23-Apr-20,42.8225,42.8225,36.9975,39.23,42.8225,-3.59,-8.39
24-Apr-20,39.23,39.9475,34.9825,39.1175,39.23,-0.11,-0.29
27-Apr-20,39.1175,40.1675,35.2125,38.0425,39.1175,-1.08,-2.75
28-Apr-20,38.0425,41.9125,35.0675,35.355,38.0425,-2.69,-7.06
29-Apr-20,35.355,35.355,31.4825,33.8375,35.355,-1.52,-4.29
30-Apr-20,33.8375,34.2525,32.535,33.9875,33.8375,0.15,0.44
04-May-20,33.9875,43.92,33.9875,43.67,33.9875,9.68,28.49
05-May-20,43.67,43.865,38.1475,43.6075,43.67,-0.06,-0.14
06-May-20,43.6075,43.63,40.1975,41.2475,43.6075,-2.36,-5.41
07-May-20,41.2475,41.715,39.6575,39.93,41.2475,-1.32,-3.19
08-May-20,39.93,39.93,36.5475,38.4075,39.93,-1.52,-3.81
11-May-20,38.4075,38.495,36.9475,38.0375,38.4075,-0.37,-0.96
12-May-20,38.0375,38.8125,35.245,38.205,38.0375,0.17,0.44
13-May-20,38.205,39.0475,33.44,38.835,38.205,0.63,1.65
14-May-20,38.835,38.835,35.795,38.1825,38.835,-0.65,-1.68
15-May-20,38.1825,38.46,34.055,38.0175,38.1825,-0.16,-0.43
18-May-20,38.0175,41.245,27.935,40.915,38.0175,2.9,7.62
19-May-20,40.915,40.915,37.9525,39.4525,40.915,-1.46,-3.57
20-May-20,39.4525,39.4525,34.095,35.81,39.4525,-3.64,-9.23
21-May-20,35.81,35.81,32.575,32.985,35.81,-2.83,-7.89
22-May-20,32.985,34.36,26.335,32.3775,32.985,-0.61,-1.84
26-May-20,32.3775,33.21,30.9725,31.47,32.3775,-0.91,-2.8
27-May-20,31.47,32.015,28.855,31.2725,31.47,-0.2,-0.63
28-May-20,31.2725,31.2725,29.195,30.0175,31.2725,-1.26,-4.01
29-May-20,30.0175,30.5675,27.41,30.22,30.0175,0.2,0.67
01-Jun-20,30.22,32.1725,28.8325,30.7425,30.22,0.52,1.73
02-Jun-20,30.7425,30.9175,27.9025,30.115,30.7425,-0.63,-2.04
03-Jun-20,30.115,30.4025,29.335,30.0425,30.115,-0.07,-0.24
04-Jun-20,30.0425,30.265,28.45,29.69,30.0425,-0.35,-1.17
05-Jun-20,29.69,29.69,25.92,28.68,29.69,-1.01,-3.4
08-Jun-20,28.68,30.145,27.7975,29.6475,28.68,0.97,3.37
09-Jun-20,29.6475,30.34,27.24,30.205,29.6475,0.56,1.88
10-Jun-20,30.205,30.205,28.7275,29.4375,30.205,-0.77,-2.54
11-Jun-20,29.4375,30.42,28.39,29.66,29.4375,0.22,0.76
12-Jun-20,29.66,32.875,29.66,30.8225,29.66,1.16,3.92
15-Jun-20,30.8225,33.7775,29.915,32.5775,30.8225,1.75,5.69
16-Jun-20,32.5775,35.3125,30.4075,32.965,32.5775,0.39,1.19
17-Jun-20,32.965,34.0175,29.05,33.355,32.965,0.39,1.18
18-Jun-20,33.355,33.4225,31.2175,31.455,33.355,-1.9,-5.7
19-Jun-20,31.455,31.9125,29.6775,29.965,31.455,-1.49,-4.74
22-Jun-20,29.965,30.9825,29.965,30.46,29.965,0.5,1.65
23-Jun-20,30.46,31.1475,29.2425,29.34,30.46,-1.12,-3.68
24-Jun-20,29.34,30.53,27.79,29.5775,29.34,0.24,0.81
25-Jun-20,29.5775,31.285,29.0575,29.7275,29.5775,0.15,0.51
26-Jun-20,29.7275,30.065,28.315,28.735,29.7275,-0.99,-3.34
29-Jun-20,28.735,30.45,27.98,28.91,28.735,0.18,0.61
30-Jun-20,28.91,29.6325,28.405,29.1175,28.91,0.21,0.72
01-Jul-20,29.1175,29.1625,27.9375,28.1175,29.1175,-1,-3.43
02-Jul-20,28.1175,28.1175,26.315,26.5075,28.1175,-1.61,-5.73
03-Jul-20,26.5075,26.775,25.6275,25.7675,26.5075,-0.74,-2.79
06-Jul-20,25.7675,26.175,24.5425,25.1975,25.7675,-0.57,-2.21
07-Jul-20,25.1975,25.645,24.24,25.1025,25.1975,-0.1,-0.38
08-Jul-20,25.1025,26.355,25.03,26.1,25.1025,1,3.97
09-Jul-20,26.1,27.6575,24.735,24.9125,26.1,-1.19,-4.55
10-Jul-20,24.9125,25.4775,23.485,24.9425,24.9125,0.03,0.12
13-Jul-20,24.9425,25.9075,22.805,25.2525,24.9425,0.31,1.24
14-Jul-20,25.2525,27.265,25.2525,26.6375,25.2525,1.38,5.48
15-Jul-20,26.6375,26.6375,23.74,26.29,26.6375,-0.35,-1.3
16-Jul-20,26.29,26.5975,25.245,25.3625,26.29,-0.93,-3.53
17-Jul-20,25.3625,25.5025,23.77,24.1575,25.3625,-1.21,-4.75
20-Jul-20,24.1575,25.12,24.1575,24.7125,24.1575,0.55,2.3
21-Jul-20,24.7125,24.7125,23.725,24.4275,24.7125,-0.29,-1.15
22-Jul-20,24.4275,25.8025,23.73,24.885,24.4275,0.46,1.87
23-Jul-20,24.885,24.935,24.0075,24.64,24.885,-0.25,-0.98
24-Jul-20,24.64,25.295,22.7375,24.535,24.64,-0.11,-0.43
27-Jul-20,24.535,25.7175,23.29,25.0175,24.535,0.48,1.97
28-Jul-20,25.0175,25.215,23.545,23.6425,25.0175,-1.38,-5.5
29-Jul-20,23.6425,24.4975,23.6425,24.1125,23.6425,0.47,1.99
30-Jul-20,24.1125,25.1425,22.09,24.7275,24.1125,0.61,2.55
31-Jul-20,24.7275,25.3725,23.9675,24.1925,24.7275,-0.54,-2.16
03-Aug-20,24.1925,25.69,23.2625,25.185,24.1925,0.99,4.1
04-Aug-20,25.185,25.185,23.555,23.815,25.185,-1.37,-5.44
05-Aug-20,23.815,23.9325,21.825,23.5675,23.815,-0.25,-1.04
06-Aug-20,23.5675,23.705,22.525,23.15,23.5675,-0.42,-1.77
07-Aug-20,23.15,23.31,21.755,22.5775,23.15,-0.57,-2.47
10-Aug-20,22.5775,23.015,21.4525,22.51,22.5775,-0.07,-0.3
11-Aug-20,22.51,22.51,20.215,21.36,22.51,-1.15,-5.11
12-Aug-20,21.36,21.9225,16.85,20.845,21.36,-0.52,-2.41
13-Aug-20,20.845,21.19,19.46,20.5675,20.845,-0.28,-1.33
14-Aug-20,20.5675,22.97,16.34,21.6725,20.5675,1.11,5.37
17-Aug-20,21.6725,22.8775,19.5575,21.3075,21.6725,-0.36,-1.68
18-Aug-20,21.3075,21.3075,18.2525,20.43,21.3075,-0.88,-4.12
19-Aug-20,20.43,20.43,17.835,19.9575,20.43,-0.47,-2.31
20-Aug-20,19.9575,21.08,17.6625,20.6175,19.9575,0.66,3.31
21-Aug-20,20.6175,20.6175,14.885,19.9375,20.6175,-0.68,-3.3
24-Aug-20,19.9375,20.0675,17.8875,19.23,19.9375,-0.71,-3.55
25-Aug-20,19.23,19.805,15.4225,19.315,19.23,0.09,0.44
26-Aug-20,19.315,19.5925,17.2225,19.3025,19.315,-0.01,-0.06
27-Aug-20,19.3025,19.47,17.4525,18.895,19.3025,-0.41,-2.11
28-Aug-20,18.895,18.895,16.655,18.3475,18.895,-0.55,-2.9
31-Aug-20,18.3475,23.8725,16.4,22.835,18.3475,4.49,24.46
01-Sep-20,22.835,23.2425,21.11,21.8,22.835,-1.04,-4.53
02-Sep-20,21.8,22.495,19.8525,21.105,21.8,-0.7,-3.19
03-Sep-20,21.105,21.105,18.16,20.5025,21.105,-0.6,-2.85
04-Sep-20,20.5025,22.6475,19.8575,22.1525,20.5025,1.65,8.05
07-Sep-20,22.1525,23.2475,17.245,22.0075,22.1525,-0.14,-0.65
08-Sep-20,22.0075,23.0725,17.57,22.7225,22.0075,0.71,3.25
09-Sep-20,22.7225,23.27,20.1975,22.23,22.7225,-0.49,-2.17
10-Sep-20,22.23,22.23,17.7,21.2625,22.23,-0.97,-4.35
11-Sep-20,21.2625,21.345,18.1725,20.7125,21.2625,-0.55,-2.59
14-Sep-20,20.7125,21.74,17.5325,21.19,20.7125,0.48,2.31
15-Sep-20,21.19,21.19,18.8975,20.5975,21.19,-0.59,-2.8
16-Sep-20,20.5975,20.5975,16.325,19.66,20.5975,-0.94,-4.55
17-Sep-20,19.66,20.6825,17.5525,20.1,19.66,0.44,2.24
18-Sep-20,20.1,20.77,17.5825,20.045,20.1,-0.05,-0.27
21-Sep-20,20.045,22.9925,18.2675,22.1875,20.045,2.14,10.69
22-Sep-20,22.1875,23.275,15.755,21.41,22.1875,-0.78,-3.5
23-Sep-20,21.41,22.4775,19.37,20.99,21.41,-0.42,-1.96
24-Sep-20,20.99,23.8175,20.925,23.51,20.99,2.52,12.01
